"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"130",11349,"Jose Gaspar",68,57,92,1
"131",11357,"Olafur Ingi Skulason",70,45,41,1
"132",11496,"Wade Elliott",74,145,34,1
"133",11498,"Stuart Nelson",65,319,3,1
"134",11555,"Fernando Soriano",74,41,110,1
"135",11569,"Avi Strool",67,141,28,1
"136",11576,"Tamir Cohen",73,43,32,1
"137",11671,"Gael Genevier",69,49,4,1
"138",11685,"Antonio Candreva",83,46,197,1
"139",11716,"Pedro Roma",72,352,2,1
"140",11726,"Nuno Piloto",69,47,94,1
"141",11736,"Antolin Alcaraz",74,51,116,3
"142",11743,"Artur",74,58,128,1
"143",11747,"Alessandro Mangiarrati",60,61,56,1
"144",11754,"Ruben Amorim",77,56,65,1
"145",11758,"Eliseu",78,67,203,2
"146",11759,"Carlos Milhazes,22",68,47,22,1
"147",11760,"Jorge Baptista",65,316,5,1
"148",11778,"Roversio",73,39,26,1
"149",11788,"Rui Baiao,22",65,133,22,1
"150",11796,"Briguel",66,43,103,1
"151",11798,"Zeca",75,48,13,1
"152",11801,"Luis Olim",65,50,39,1
"153",11827,"Fernando Cardozo",69,136,25,1
"154",11829,"Bruno Patacas",70,135,52,1
"155",11833,"de Oliveira Cleber Monteiro",69,71,64,1
"156",11836,"Marcelo Pereira Bruno",68,94,29,1
"157",11840,"Miguel Fidalgo",68,55,24,1
"158",11849,"Pedro Moreira",69,63,52,1
"159",11851,"Nuno Silva",68,126,33,1
"160",11860,"Jose Manuel Ze Gomes",67,46,59,1
"161",11863,"Danielson",71,39,175,1
"162",11865,"Ferreira Delson,28",65,59,28,1
"163",11876,"Laranjeiro",68,149,26,1
"164",11897,"Flavio Meireles",70,60,28,1
"165",11901,"Ricardo Pessoa",65,59,52,1
"166",12099,"Marcel MBayo,25",66,121,25,1
"167",12209,"Tomas Kosicky",66,330,7,1
"168",12245,"Adam Nemec",70,58,12,2
"169",12246,"Stanislav Sestak",77,122,50,1
"170",12283,"Robert Demjan",68,58,97,2
"171",12288,"Jan Durica",75,48,8,1
"172",12307,"Miroslav Bozok",63,43,96,1
"173",12310,"Rudolf Urban",57,40,8,1
"174",12318,"Dusan Pernis",70,351,106,1
"175",12320,"Dalibor Pleva",60,47,23,1
"176",12327,"Matej Izvolt",62,52,33,1
"177",12330,"Peter Pekarik",76,58,114,1
"178",12340,"Richard Zajac,28",67,340,73,1
"179",12371,"Kamil Kopunek",65,42,4,1
"180",12374,"Pavol Stano",66,41,179,1
"181",12386,"Krisztian Nemeth",71,56,52,1
"182",12405,"Elvedin Dzinic",66,114,27,2
"183",12418,"Dragan Jelic",64,54,3,1
"184",12431,"Jure Travner",65,142,35,1
"185",12454,"Branko Ilic",69,138,1,1
"186",12473,"Marko Suler",72,36,65,1
"187",12574,"Zlatan Ljubijankic",72,52,65,1
"188",12692,"Kanu",71,44,40,1
"189",12763,"Nicolae Ovidiu Herea",69,60,25,1
"190",12766,"Cristian Sapunaru",77,57,80,2
"191",12985,"Christos Karypidis",66,125,34,1
"192",13033,"Orestis Karnezis",79,391,81,2
"193",13034,"Michalis Sifakis",76,377,7,1
"194",13131,"Tomislav Pacovski",68,330,70,1
"195",13191,"Ioannis Maniatis",75,51,3,1
"196",13225,"Fabian Pawela",62,53,29,1
"197",13301,"Kamil Kuzera",65,53,46,1
"198",13320,"Krzysztof Kotorowski",66,329,70,1
"199",13327,"Pawel Sasin",64,95,41,1
"200",13329,"Blazej Telichowski",62,58,99,1
"201",13334,"Lukasz Madej",68,52,140,1
"202",13345,"Pawel Kieszek",75,374,143,2
"203",13349,"Antoni Lukasiewicz",68,97,77,1
"204",13376,"Jakub Rzezniczak",70,54,142,1
"205",13383,"Maciej Korzym",67,53,127,1
"206",13390,"Wojciech Skaba",63,312,60,1
"207",13405,"Marcin Malinowski",65,52,158,1
"208",13410,"Mariusz Zganiacz",71,47,39,1
"209",13423,"Marcin Wasilewski",72,49,84,2
"210",13425,"Wahan Gevorgyan",63,53,34,1
"211",13428,"Slawomir Peszko",75,56,117,2
"212",13436,"Krzysztof Pilarz",67,360,125,1
"213",13437,"Piotr Celeban",72,46,155,1
"214",13449,"Lukasz Tralka",70,66,189,1
"215",13454,"Sebastian Przyrowski",65,319,94,1
"216",13471,"Radoslaw Cierzniak",66,331,149,2
"217",13472,"Arkadiusz Malarz",65,325,36,1
"218",13473,"Maciej Mielcarz",66,329,90,1
"219",13474,"Jaroslaw Bieniuk",67,57,78,1
"220",13476,"Dawid Kucharski",64,135,10,1
"221",13477,"Tomasz Lisowski",69,48,82,1
"222",13480,"Grzegorz Wojtkowiak",72,47,85,1
"223",13481,"Hubert Wolakiewicz",68,55,153,1
"224",13483,"Filip Burkhardt",59,87,28,1
"225",13486,"Marcin Kikut",70,105,68,1
"226",13494,"Jakub Szmatula",66,337,48,1
"227",13504,"Mateusz Zytko",60,62,96,1
"228",13513,"Pawel Strak",70,42,45,1
"229",13515,"Lukasz Mierzejewski",63,59,90,1
"230",13518,"Lukasz Piszczek",83,57,175,1
"231",13533,"Piotr Polczak",67,58,90,1
"232",13538,"Dawid Plizga",68,51,108,1
"233",13549,"Vejlko Nikitovic",61,70,22,1
"234",13551,"Tomasz Brzyski",69,73,170,1
"235",13554,"Mariusz Pawelec",66,64,144,1
"236",13557,"Dawid Soldecki",61,53,26,1
"237",13917,"Liam Kelly",68,52,95,1
"238",14039,"Paul Dixon",71,57,160,1
"239",14100,"Alan Mannus",69,341,156,1
"240",14487,"Roei Dayan",68,52,14,1
"241",14521,"Maor Melikson",76,54,81,1
"242",14533,"Gal Alberman",72,156,14,1
"243",14551,"Dekel Keinan",66,44,3,1
"244",14557,"Lior Rafaelov",78,52,63,1
"245",14560,"Eden Ben Basat",73,52,55,1
"246",14593,"Eliran Atar",72,46,11,1
"247",14642,"Yoav Ziv",67,133,28,1
"248",14658,"Vladimir Dvalishvili",69,50,58,1
"249",15361,"Jasmin Buric",71,348,101,1
"250",15403,"Edin Dzeko",85,63,174,3
